"고스트레스자 판단 기준
조건 1. 심신 스트레스 반응 (B 섹션) 77점 이상인 경우
조건 2. 스트레스 요인 (A 섹션) + 지원 부족 (C 섹션) 합산 76점 이상 AND 심신 반응 (B 섹션) 63점 이상인 경우",,,,,,,,
,,,,,,,,
영역,번호,문항 내용,1번 점수,2번 점수,3번 점수,4번 점수,비고 (선택지 내용),문항수
A,1,매우 많은 일을 해야 한다,4,3,2,1,①그렇다 ②그런 편이다 ③아닌 것 같다 ④아니다,57
A,2,정해진 시간 안에 일을 처리할 수 없다,4,3,2,1,①그렇다 ②그런 편이다 ③아닌 것 같다 ④아니다,
A,3,열심히 일해야 한다,4,3,2,1,①그렇다 ②그런 편이다 ③아닌 것 같다 ④아니다,
A,4,상당한 집중력이 필요하다,4,3,2,1,①그렇다 ②그런 편이다 ③아닌 것 같다 ④아니다,
A,5,높은 지식이나 기술이 필요한 어려운 일이다,4,3,2,1,①그렇다 ②그런 편이다 ③아닌 것 같다 ④아니다,
A,6,근무 시간 동안 언제나 일 생각을 하고 있어야 한다,4,3,2,1,①그렇다 ②그런 편이다 ③아닌 것 같다 ④아니다,
A,7,신체를 많이 사용하는 일이다,4,3,2,1,①그렇다 ②그런 편이다 ③아닌 것 같다 ④아니다,
A,8,자신의 페이스로 일할 수 있다,1,2,3,4,①그렇다 ②그런 편이다 ③아닌 것 같다 ④아니다,
A,9,스스로 일의 순서나 방법을 결정할 수 있다,1,2,3,4,①그렇다 ②그런 편이다 ③아닌 것 같다 ④아니다,
A,10,직장 내 업무 방침에 자신의 의견을 반영할 수 있다,1,2,3,4,①그렇다 ②그런 편이다 ③아닌 것 같다 ④아니다,
A,11,자신의 기술이나 지식을 일에서 사용할 일이 적다,4,3,2,1,①그렇다 ②그런 편이다 ③아닌 것 같다 ④아니다,
A,12,소속 부서 내에서 의견 충돌이 있다,4,3,2,1,①그렇다 ②그런 편이다 ③아닌 것 같다 ④아니다,
A,13,내 부서와 다른 부서의 궁합이 좋지 않다,4,3,2,1,①그렇다 ②그런 편이다 ③아닌 것 같다 ④아니다,
A,14,직장 분위기가 우호적이다,1,2,3,4,①그렇다 ②그런 편이다 ③아닌 것 같다 ④아니다,
A,15,"작업환경(소음, 조명, 온도, 환기 등)이 좋지 않다",4,3,2,1,①그렇다 ②그런 편이다 ③아닌 것 같다 ④아니다,
A,16,업무 내용이 자신에게 맞는다,1,2,3,4,①그렇다 ②그런 편이다 ③아닌 것 같다 ④아니다,
A,17,보람 있는 일이다,1,2,3,4,①그렇다 ②그런 편이다 ③아닌 것 같다 ④아니다,
B,1,활기가 넘친다,4,3,2,1,①전혀 없었다 ②없지는 않다 ③가끔 그렇다 ④항상 그렇다,
B,2,기운이 가득하다,4,3,2,1,①전혀 없었다 ②없지는 않다 ③가끔 그렇다 ④항상 그렇다,
B,3,생기가 돈다,4,3,2,1,①전혀 없었다 ②없지는 않다 ③가끔 그렇다 ④항상 그렇다,
B,4,화를 느낀다,1,2,3,4,①전혀 없었다 ②없지는 않다 ③가끔 그렇다 ④항상 그렇다,
B,5,속으로 화가 난다,1,2,3,4,①전혀 없었다 ②없지는 않다 ③가끔 그렇다 ④항상 그렇다,
B,6,짜증이 난다,1,2,3,4,①전혀 없었다 ②없지는 않다 ③가끔 그렇다 ④항상 그렇다,
B,7,몹시 피곤하다,1,2,3,4,①전혀 없었다 ②없지는 않다 ③가끔 그렇다 ④항상 그렇다,
B,8,기진맥진하다,1,2,3,4,①전혀 없었다 ②없지는 않다 ③가끔 그렇다 ④항상 그렇다,
B,9,몸이 나른하다,1,2,3,4,①전혀 없었다 ②없지는 않다 ③가끔 그렇다 ④항상 그렇다,
B,10,긴장되어 있다,1,2,3,4,①전혀 없었다 ②없지는 않다 ③가끔 그렇다 ④항상 그렇다,
B,11,불안하다,1,2,3,4,①전혀 없었다 ②없지는 않다 ③가끔 그렇다 ④항상 그렇다,
B,12,안절부절못한다,1,2,3,4,①전혀 없었다 ②없지는 않다 ③가끔 그렇다 ④항상 그렇다,
B,13,우울하다,1,2,3,4,①전혀 없었다 ②없지는 않다 ③가끔 그렇다 ④항상 그렇다,
B,14,무엇을 하기도 귀찮다,1,2,3,4,①전혀 없었다 ②없지는 않다 ③가끔 그렇다 ④항상 그렇다,
B,15,집중이 안 된다,1,2,3,4,①전혀 없었다 ②없지는 않다 ③가끔 그렇다 ④항상 그렇다,
B,16,기분이 맑지 않다,1,2,3,4,①전혀 없었다 ②없지는 않다 ③가끔 그렇다 ④항상 그렇다,
B,17,일이 손에 잡히지 않는다,1,2,3,4,①전혀 없었다 ②없지는 않다 ③가끔 그렇다 ④항상 그렇다,
B,18,슬프다고 느낀다,1,2,3,4,①전혀 없었다 ②없지는 않다 ③가끔 그렇다 ④항상 그렇다,
B,19,어지럽다,1,2,3,4,①전혀 없었다 ②없지는 않다 ③가끔 그렇다 ④항상 그렇다,
B,20,몸 여기저기가 아프다,1,2,3,4,①전혀 없었다 ②없지는 않다 ③가끔 그렇다 ④항상 그렇다,
B,21,머리가 무겁거나 두통이 있다,1,2,3,4,①전혀 없었다 ②없지는 않다 ③가끔 그렇다 ④항상 그렇다,
B,22,목이나 어깨가 뻐근하다,1,2,3,4,①전혀 없었다 ②없지는 않다 ③가끔 그렇다 ④항상 그렇다,
B,23,허리가 아프다,1,2,3,4,①전혀 없었다 ②없지는 않다 ③가끔 그렇다 ④항상 그렇다,
B,24,눈이 피로하다,1,2,3,4,①전혀 없었다 ②없지는 않다 ③가끔 그렇다 ④항상 그렇다,
